"Munic�pio";"Poliomielite"
"110001 ALTA FLORESTA D\'OESTE";"101,50"
"110002 ARIQUEMES";"85,40"
"110003 CABIXI";"97,10"
"110004 CACOAL";"85,66"
"110005 CEREJEIRAS";"95,17"
"110006 COLORADO DO OESTE";"101,97"
"110007 CORUMBIARA";"101,87"
"110008 COSTA MARQUES";"93,68"
"110009 ESPIGAO D\'OESTE";"89,17"
"110010 GUAJARA-MIRIM";"52,91"
"110011 JARU";"84,87"
"110012 JI-PARANA";"79,28"
"110013 MACHADINHO D\'OESTE";"83,96"
"110014 NOVA BRASILANDIA D\'OESTE";"106,09"
"110015 OURO PRETO DO OESTE";"78,83"
"110018 PIMENTA BUENO";"95,85"
"110020 PORTO VELHO";"72,47"
"110025 PRESIDENTE MEDICI";"74,52"
"110026 RIO CRESPO";"102,08"
"110028 ROLIM DE MOURA";"84,83"
"110029 SANTA LUZIA D\'OESTE";"73,74"
"110030 VILHENA";"90,08"
"110032 SAO MIGUEL DO GUAPORE";"77,13"
"110033 NOVA MAMORE";"90,78"
"110034 ALVORADA D\'OESTE";"82,38"
"110037 ALTO ALEGRE DOS PARECIS";"109,59"
"110040 ALTO PARAISO";"107,80"
"110045 BURITIS";"115,35"
"110050 NOVO HORIZONTE DO OESTE";"130,77"
"110060 CACAULANDIA";"81,43"
"110070 CAMPO NOVO DE RONDONIA";"43,93"
"110080 CANDEIAS DO JAMARI";"67,44"
"110090 CASTANHEIRAS";"86,49"
"110092 CHUPINGUAIA";"98,15"
"110094 CUJUBIM";"102,03"
"110100 GOVERNADOR JORGE TEIXEIRA";"124,42"
"110110 ITAPUA DO OESTE";"123,53"
"110120 MINISTRO ANDREAZZA";"102,70"
"110130 MIRANTE DA SERRA";"67,26"
"110140 MONTE NEGRO";"85,63"
"110143 NOVA UNIAO";"116,09"
"110145 PARECIS";"74,58"
"110146 PIMENTEIRAS DO OESTE";"105,13"
"110147 PRIMAVERA DE RONDONIA";"89,47"
"110148 SAO FELIPE D\'OESTE";"72,31"
"110149 SAO FRANCISCO DO GUAPORE";"90,98"
"110150 SERINGUEIRAS";"88,27"
"110155 TEIXEIROPOLIS";"133,33"
"110160 THEOBROMA";"76,52"
"110170 URUPA";"97,90"
"110175 VALE DO ANARI";"105,56"
"110180 VALE DO PARAISO";"138,71"
"120001 ACRELANDIA";"78,48"
"120005 ASSIS BRASIL";"65,58"
"120010 BRASILEIA";"75,33"
"120013 BUJARI";"73,86"
"120017 CAPIXABA";"65,79"
"120020 CRUZEIRO DO SUL";"66,47"
"120025 EPITACIOLANDIA";"73,04"
"120030 FEIJO";"49,94"
"120032 JORDAO";"108,78"
"120033 MANCIO LIMA";"59,76"
"120034 MANOEL URBANO";"61,07"
"120035 MARECHAL THAUMATURGO";"86,53"
"120038 PLACIDO DE CASTRO";"70,18"
"120039 PORTO WALTER";"77,00"
"120040 RIO BRANCO";"72,53"
"120042 RODRIGUES ALVES";"36,60"
"120043 SANTA ROSA DO PURUS";"85,23"
"120045 SENADOR GUIOMARD";"57,61"
"120050 SENA MADUREIRA";"103,59"
"120060 TARAUACA";"81,14"
"120070 XAPURI";"76,90"
"120080 PORTO ACRE";"69,81"
"130002 ALVARAES";"79,35"
"130006 AMATURA";"105,66"
"130008 ANAMA";"75,44"
"130010 ANORI";"65,89"
"130014 APUI";"102,26"
"130020 ATALAIA DO NORTE";"58,57"
"130030 AUTAZES";"73,29"
"130040 BARCELOS";"33,40"
"130050 BARREIRINHA";"57,09"
"130060 BENJAMIN CONSTANT";"38,21"
"130063 BERURI";"73,73"
"130068 BOA VISTA DO RAMOS";"104,68"
"130070 BOCA DO ACRE";"62,12"
"130080 BORBA";"88,76"
"130083 CAAPIRANGA";"81,86"
"130090 CANUTAMA";"67,51"
"130100 CARAUARI";"65,13"
"130110 CAREIRO";"99,82"
"130115 CAREIRO DA VARZEA";"120,00"
"130120 COARI";"55,40"
"130130 CODAJAS";"83,33"
"130140 EIRUNEPE";"65,55"
"130150 ENVIRA";"71,93"
"130160 FONTE BOA";"70,22"
"130165 GUAJARA";"24,40"
"130170 HUMAITA";"89,05"
"130180 IPIXUNA";"58,77"
"130185 IRANDUBA";"93,65"
"130190 ITACOATIARA";"79,52"
"130195 ITAMARATI";"84,17"
"130200 ITAPIRANGA";"116,49"
"130210 JAPURA";"78,72"
"130220 JURUA";"30,67"
"130230 JUTAI";"31,04"
"130240 LABREA";"98,38"
"130250 MANACAPURU";"59,80"
"130255 MANAQUIRI";"95,98"
"130260 MANAUS";"82,52"
"130270 MANICORE";"86,24"
"130280 MARAA";"49,88"
"130290 MAUES";"89,45"
"130300 NHAMUNDA";"80,12"
"130310 NOVA OLINDA DO NORTE";"33,72"
"130320 NOVO AIRAO";"87,93"
"130330 NOVO ARIPUANA";"69,38"
"130340 PARINTINS";"91,08"
"130350 PAUINI";"31,74"
"130353 PRESIDENTE FIGUEIREDO";"85,66"
"130356 RIO PRETO DA EVA";"98,22"
"130360 SANTA ISABEL DO RIO NEGRO";"49,38"
"130370 SANTO ANTONIO DO ICA";"97,82"
"130380 SAO GABRIEL DA CACHOEIRA";"38,75"
"130390 SAO PAULO DE OLIVENCA";"29,82"
"130395 SAO SEBASTIAO DO UATUMA";"88,29"
"130400 SILVES";"113,81"
"130406 TABATINGA";"62,61"
"130410 TAPAUA";"76,33"
"130420 TEFE";"101,84"
"130423 TONANTINS";"59,22"
"130426 UARINI";"74,25"
"130430 URUCARA";"97,23"
"130440 URUCURITUBA";"138,49"
"140002 AMAJARI";"24,05"
"140005 ALTO ALEGRE";"27,00"
"140010 BOA VISTA";"64,16"
"140015 BONFIM";"45,69"
"140017 CANTA";"52,01"
"140020 CARACARAI";"50,81"
"140023 CAROEBE";"113,66"
"140028 IRACEMA";"56,38"
"140030 MUCAJAI";"73,00"
"140040 NORMANDIA";"27,80"
"140045 PACARAIMA";"114,76"
"140047 RORAINOPOLIS";"77,09"
"140050 SAO JOAO DA BALIZA";"120,63"
"140060 SAO LUIZ";"83,02"
"140070 UIRAMUTA";"19,90"
"150010 ABAETETUBA";"62,50"
"150013 ABEL FIGUEIREDO";"104,08"
"150020 ACARA";"66,84"
"150030 AFUA";"28,01"
"150034 AGUA AZUL DO NORTE";"128,99"
"150040 ALENQUER";"42,62"
"150050 ALMEIRIM";"67,01"
"150060 ALTAMIRA";"61,66"
"150070 ANAJAS";"66,87"
"150080 ANANINDEUA";"63,41"
"150085 ANAPU";"73,38"
"150090 AUGUSTO CORREA";"87,44"
"150095 AURORA DO PARA";"79,40"
"150100 AVEIRO";"96,58"
"150110 BAGRE";"37,31"
"150120 BAIAO";"74,17"
"150125 BANNACH";"117,54"
"150130 BARCARENA";"87,23"
"150140 BELEM";"52,21"
"150145 BELTERRA";"87,38"
"150150 BENEVIDES";"91,18"
"150157 BOM JESUS DO TOCANTINS";"70,08"
"150160 BONITO";"81,68"
"150170 BRAGANCA";"75,10"
"150172 BRASIL NOVO";"79,45"
"150175 BREJO GRANDE DO ARAGUAIA";"96,26"
"150178 BREU BRANCO";"59,66"
"150180 BREVES";"28,36"
"150190 BUJARU";"75,79"
"150195 CACHOEIRA DO PIRIA";"75,51"
"150200 CACHOEIRA DO ARARI";"85,67"
"150210 CAMETA";"83,38"
"150215 CANAA DOS CARAJAS";"101,08"
"150220 CAPANEMA";"84,97"
"150230 CAPITAO POCO";"57,85"
"150240 CASTANHAL";"90,99"
"150250 CHAVES";"23,36"
"150260 COLARES";"104,44"
"150270 CONCEICAO DO ARAGUAIA";"83,03"
"150275 CONCORDIA DO PARA";"103,90"
"150276 CUMARU DO NORTE";"51,58"
"150277 CURIONOPOLIS";"70,10"
"150280 CURRALINHO";"45,78"
"150285 CURUA";"97,46"
"150290 CURUCA";"85,65"
"150293 DOM ELISEU";"77,51"
"150295 ELDORADO DOS CARAJAS";"76,42"
"150300 FARO";"102,01"
"150304 FLORESTA DO ARAGUAIA";"126,85"
"150307 GARRAFAO DO NORTE";"88,89"
"150309 GOIANESIA DO PARA";"53,25"
"150310 GURUPA";"57,98"
"150320 IGARAPE-ACU";"80,33"
"150330 IGARAPE-MIRI";"78,97"
"150340 INHANGAPI";"80,45"
"150345 IPIXUNA DO PARA";"58,41"
"150350 IRITUIA";"93,56"
"150360 ITAITUBA";"27,83"
"150370 ITUPIRANGA";"66,75"
"150375 JACAREACANGA";"64,21"
"150380 JACUNDA";"77,15"
"150390 JURUTI";"75,07"
"150400 LIMOEIRO DO AJURU";"80,91"
"150405 MAE DO RIO";"85,87"
"150410 MAGALHAES BARATA";"121,11"
"150420 MARABA";"69,57"
"150430 MARACANA";"61,90"
"150440 MARAPANIM";"87,14"
"150442 MARITUBA";"64,89"
"150445 MEDICILANDIA";"93,28"
"150450 MELGACO";"29,63"
"150460 MOCAJUBA";"71,10"
"150470 MOJU";"36,80"
"150475 MOJUI DOS CAMPOS";"107,04"
"150480 MONTE ALEGRE";"66,57"
"150490 MUANA";"48,58"
"150495 NOVA ESPERANCA DO PIRIA";"85,32"
"150497 NOVA IPIXUNA";"65,78"
"150500 NOVA TIMBOTEUA";"108,03"
"150503 NOVO PROGRESSO";"107,46"
"150506 NOVO REPARTIMENTO";"51,93"
"150510 OBIDOS";"60,68"
"150520 OEIRAS DO PARA";"30,06"
"150530 ORIXIMINA";"38,62"
"150540 OUREM";"67,23"
"150543 OURILANDIA DO NORTE";"64,26"
"150548 PACAJA";"85,98"
"150549 PALESTINA DO PARA";"58,62"
"150550 PARAGOMINAS";"73,35"
"150553 PARAUAPEBAS";"76,41"
"150555 PAU D\'ARCO";"65,89"
"150560 PEIXE-BOI";"72,94"
"150563 PICARRA";"128,14"
"150565 PLACAS";"105,74"
"150570 PONTA DE PEDRAS";"112,14"
"150580 PORTEL";"36,63"
"150590 PORTO DE MOZ";"59,15"
"150600 PRAINHA";"61,26"
"150610 PRIMAVERA";"85,12"
"150611 QUATIPURU";"76,00"
"150613 REDENCAO";"85,90"
"150616 RIO MARIA";"77,51"
"150618 RONDON DO PARA";"93,48"
"150619 RUROPOLIS";"97,77"
"150620 SALINOPOLIS";"95,73"
"150630 SALVATERRA";"53,45"
"150635 SANTA BARBARA DO PARA";"66,55"
"150640 SANTA CRUZ DO ARARI";"86,25"
